symbol,total_trades,win_trades,win_rate,avg_return,total_return
EXEL,27,9,0.3333333333333333,0.008763253226297738,0.2366078371100389
CNK,19,9,0.47368421052631576,0.012437670813260982,0.23631574545195866
LPG,5,4,0.8,0.04716352816764348,0.2358176408382174
INSW,8,4,0.5,0.029296606011129763,0.2343728480890381
KR,24,11,0.4583333333333333,0.009714698269727746,0.2331527584734659
DAN,28,9,0.32142857142857145,0.008295580234652617,0.2322762465702733
RBLX,8,4,0.5,0.029027877453807412,0.2322230196304593
TARS,6,4,0.6666666666666666,0.038677083982253085,0.2320625038935185
LBRDK,8,5,0.625,0.029000046415718638,0.2320003713257491
VST,17,7,0.4117647058823529,0.013547468401402876,0.2303069628238489
MATX,6,5,0.8333333333333334,0.037935963403134966,0.2276157804188098
UNH,31,14,0.45161290322580644,0.007341636360909183,0.22759072718818468
ENS,5,3,0.6,0.04547972668712706,0.2273986334356353
UBER,9,4,0.4444444444444444,0.0252621679219972,0.2273595112979748
STAA,11,4,0.36363636363636365,0.020626768162912756,0.22689444979204032
GLNG,24,11,0.4583333333333333,0.009444956164679974,0.22667894795231938
JKHY,9,5,0.5555555555555556,0.0251417476426863,0.2262757287841767
UAL,40,14,0.35,0.005650663474201142,0.22602653896804567
SHAK,22,11,0.5,0.010242477825402134,0.22533451215884692
WAL,17,6,0.35294117647058826,0.013254165882380748,0.2253208200004727
SMTC,34,13,0.38235294117647056,0.006624815368882793,0.22524372254201497
CRBG,8,6,0.75,0.028102823825554412,0.2248225906044353
FRO,31,14,0.45161290322580644,0.007207498109477658,0.2234324413938074
OLLI,26,9,0.34615384615384615,0.008532139426717008,0.22183562509464222
BC,27,12,0.4444444444444444,0.008203941049684126,0.2215064083414714
FNV,17,8,0.47058823529411764,0.013025013472463588,0.221425229031881
AEHR,7,3,0.42857142857142855,0.03154963023824646,0.2208474116677252
VERA,6,3,0.5,0.03665579934056282,0.2199347960433769
VIAV,29,11,0.3793103448275862,0.007515091391600148,0.21793765035640428
R,23,10,0.43478260869565216,0.009426341280748967,0.21680584945722622
ROIV,11,5,0.45454545454545453,0.01949084803972109,0.214399328436932
AA,35,14,0.4,0.006120274486934659,0.21420960704271305
VC,14,5,0.35714285714285715,0.01507068360613305,0.2109895704858627
ROOT,5,2,0.4,0.04209177532868598,0.21045887664342988
UI,21,10,0.47619047619047616,0.009996043952174743,0.2099169229956696
INMD,7,3,0.42857142857142855,0.02998207631282324,0.20987453418976268
FOLD,30,12,0.4,0.006962820842147372,0.20888462526442114
APLS,18,7,0.3888888888888889,0.011341775812086716,0.20415196461756088
HUM,25,12,0.48,0.008024965109093514,0.20062412772733784
WLK,19,10,0.5263157894736842,0.0105473521487009,0.2003996908253171
COIN,8,3,0.375,0.0249090540545298,0.1992724324362384
IMAX,10,4,0.4,0.01982102724999376,0.1982102724999376
GD,14,7,0.5,0.013884790828018865,0.1943870715922641
GMED,13,7,0.5384615384615384,0.0149057456666165,0.1937746936660145
QLYS,26,11,0.4230769230769231,0.007340789526823385,0.190860527697408
MNDY,13,5,0.38461538461538464,0.014436245684717354,0.1876711939013256
APLD,11,4,0.36363636363636365,0.017060303959052923,0.18766334354958214
WMS,13,5,0.38461538461538464,0.014214592792036601,0.18478970629647581
BCS,8,4,0.5,0.02301494481058155,0.1841195584846524
FTNT,24,10,0.4166666666666667,0.007643681984243737,0.18344836762184968
REZI,10,4,0.4,0.018169213285349466,0.18169213285349467
GPOR,7,5,0.7142857142857143,0.025942274726923453,0.18159592308846417
CC,24,8,0.3333333333333333,0.0075638077707588375,0.1815313864982121
ALGN,24,10,0.4166666666666667,0.007532405693882408,0.18077773665317778
MRNA,5,3,0.6,0.035764521078593715,0.17882260539296857
CNM,8,4,0.5,0.022149423075373813,0.1771953846029905
CMI,24,10,0.4166666666666667,0.007367215291382513,0.1768131669931803
DASH,13,6,0.46153846153846156,0.013588872584557352,0.1766553435992456
SITM,9,4,0.4444444444444444,0.019571535371738908,0.17614381834565018
ALGM,10,4,0.4,0.01751100492788831,0.1751100492788831
RXST,6,3,0.5,0.028948910680103315,0.1736934640806199
NXST,32,12,0.375,0.005412127904457557,0.1731880929426418
ASTS,10,4,0.4,0.01724472582672913,0.1724472582672913
VRT,22,11,0.5,0.007828117964039859,0.17221859520887692
LFUS,8,3,0.375,0.021474776045835614,0.1717982083666849
ALLY,16,5,0.3125,0.010620628528715382,0.16993005645944612
PPTA,8,3,0.375,0.02114043628221217,0.16912349025769735
ODFL,18,8,0.4444444444444444,0.009381892461582993,0.1688740643084939
APP,8,4,0.5,0.02102562884676524,0.1682050307741219
EME,10,7,0.7,0.016749610094159602,0.167496100941596
LAUR,5,3,0.6,0.033366823283007996,0.16683411641503998
SCCO,31,11,0.3548387096774194,0.0053045887086724565,0.16444224996884615
COF,22,9,0.4090909090909091,0.007358118422461,0.161878605294142
CEG,6,3,0.5,0.02661014447370715,0.1596608668422429
VEEV,30,14,0.4666666666666667,0.005317703075964833,0.159531092278945
AJG,7,4,0.5714285714285714,0.02267812848265547,0.1587468993785883
NXT,7,3,0.42857142857142855,0.022667697176741896,0.15867388023719328
VSCO,5,3,0.6,0.03162984748558226,0.1581492374279113
MPWR,15,7,0.4666666666666667,0.010495180659897426,0.1574277098984614
IRTC,17,7,0.4117647058823529,0.00919549648092595,0.15632344017574115
OKTA,28,11,0.39285714285714285,0.005579766126968725,0.1562334515551243
VIRT,14,6,0.42857142857142855,0.011102874000890188,0.15544023601246262
WCC,27,9,0.3333333333333333,0.005742900905396229,0.15505832444569817
NXE,9,4,0.4444444444444444,0.017178400122914324,0.15460560110622892
XOM,13,6,0.46153846153846156,0.011872234889800338,0.1543390535674044
TVTX,5,3,0.6,0.03070269371922284,0.1535134685961142
QTWO,16,8,0.5,0.009548551262550426,0.15277682020080682
IDCC,15,8,0.5333333333333333,0.0101175199702113,0.15176279955316951
WSC,15,6,0.4,0.010010492204502572,0.1501573830675386
CRC,24,9,0.375,0.006256491081934558,0.1501557859664294
PSTG,26,10,0.38461538461538464,0.005770557441074019,0.1500344934679245
PLXS,7,4,0.5714285714285714,0.021372116276260844,0.1496048139338259
BMA,6,3,0.5,0.024878503845085387,0.14927102307051232
COMP,6,4,0.6666666666666666,0.0247053282483439,0.1482319694900634
CALX,12,5,0.4166666666666667,0.012210712592243142,0.1465285511069177
SNAP,20,8,0.4,0.0073058404018881305,0.1461168080377626
FIVE,21,9,0.42857142857142855,0.006955154410392452,0.1460582426182415
JOBY,9,4,0.4444444444444444,0.01619928349434132,0.14579355144907188
NTLA,10,4,0.4,0.014526752888878242,0.14526752888878242
AS,6,3,0.5,0.023931088556215754,0.14358653133729452
ISRG,21,9,0.42857142857142855,0.006665482793007128,0.1399751386531497
CG,17,7,0.4117647058823529,0.00818694552898933,0.13917807399281862
OZK,20,9,0.45,0.006954047350931895,0.1390809470186379
TSEM,5,3,0.6,0.02758653998031308,0.1379326999015654
MKSI,21,9,0.42857142857142855,0.006554899427198557,0.1376528879711697
MIRM,9,4,0.4444444444444444,0.015239485422001653,0.13715536879801488
GRPN,9,3,0.3333333333333333,0.015146483312750456,0.1363183498147541
FICO,11,6,0.5454545454545454,0.01237186376932809,0.13609050146260898
BKSY,7,3,0.42857142857142855,0.019262801011272757,0.1348396070789093
PRIM,14,5,0.35714285714285715,0.009500514059941187,0.1330071968391766
USFD,10,4,0.4,0.013277502876239008,0.13277502876239008
